Item Name
Recovered 134-A
134-A
Cellular Wifi HotSpot 
Recovered R-448A
R-448A
Recovered 417-C
417-C
Recovered 422-C
422-C
Recovered 422-B
422-B
Recovered 422-A
422-A
Recovered 408-A
408-A
Recovered R-11
R-11
Recovered R-502
R-502
Recovered R-12
R-12
Recovered NU-22
NU-22
Recovered 422-C
422-C
Recovered 422-B
422-B
Recovered 134-B
134-B
Recovered 404-A
404-A
Recovered R-32
R-32
Recovered 454-B
454-B
Recovered 407-C
407-C
Recovered R-22
Recovered R-410A 
R-22
Conex
Fall Protection
Nail Gun
Generator_
Small Tool
Welder
Trailer
Vehicle Build-Out
Small Tools 
Office Supplies
Shop Supplies
Clothing
R-410A
Forklift
Duct Lift
Scissor Lift
Telehandler
Core-Owned Lift Equipment
Estimating/Engineering
Elevated Scaffolding - Subcontract Work
Elevated Insulation - Subcontractor
Piping Install - Subcontractor
Plumbing Service - Subcontract Work
Plumbing Install - Subcontract Work
HVAC PM - Subcontract Work
HVAC Service - Subcontract Work
HVAC Install - Subcontract Work
Elevated Scaffolding - Equipment Rental
Elevated Insulation - Equipment Rental
Piping Install - Equipment Rental
Plumbing Service - Equipment Rental
Plumbing Install - Equipment Rental
HVAC PM - Equipment Rental
HVAC Service - Equipment Rental
HVAC Install - Equipment Rental
Elevated Scaffolding - Materials
Elevated Insulation - Materials
Piping Install - Materials
Plumbing Install - Materials
Plumbing Service - Materials
HVAC PM - Materials
HVAC Service - Materials
Elevated Scaffolding - Labor
Elevated Insulation - Labor
Plumbing Service - Labor
Plumbing Install - Labor
Piping Install - Labor
HVAC PM - Labor
HVAC Labor - Fabrication
HVAC Install - Labor
Project Retainage
HVAC Install - Materials
HVAC Service - Labor
